Trial,Rule,Result,Probability,PC1,PC2,PC3,Site,Excluded
41,5,Sand,0.761,'0.308 < x <= 0.341,'<= 0.313,"","A, B, C, D, E, F, H, I, J","G, K, L"
41,6,Sand,0.759,'-1.708 < x <= -0.342,'<= 0.203,'> -0.132,D,"A, B, C, E, F, G, H, I, J, K, L"
41,7,Sand,0.758,'-1.708 < x <= -0.342,'<= 0.346,"",B,"A, C, D, E, F, G, H, I, J, K, L"
41,8,Sand,0.745,'0.562 < x <= 1.545,'<= 0.243,'> 0.006,L,"A, B, C, D, E, F, G, H, I, J, K"
41,9,Sand,0.717,'> -0.342,'<= 0.413,'> -0.105,D,"A, B, C, E, F, G, H, I, J, K, L"
41,10,Sand,0.716,'> -0.342,'<= 0.413,'> -0.215,B,"A, C, D, E, F, G, H, I, J, K, L"
41,11,Sand,0.6809999999999999,'> -1.708,'<= 0.346,'> -0.132,C,"A, B, D, E, F, G, H, I, J, K, L"
41,12,Sand,0.6809999999999999,'0.466 < x <= 1.545,'<= -1.396,'> -0.215,E,"A, B, C, D, F, G, H, I, J, K, L"
41,13,Sand,0.629,'> -0.342,'<= 0.31,'<= 0.111,K,"A, B, C, D, E, F, G, H, I, J, L"
41,14,Sand,0.622,'> 0.308,"",'> 0.021,I,"A, B, C, D, E, F, G, H, J, K, L"
41,15,Sand,0.583,'-1.751 < x <= -0.342,'<= 0.034,'> 0.114,"B, C, D, E, F, G, H, I, L","A, J, K"
41,16,Sand,0.5720000000000001,'> 0.308,'<= 0.313,"",J,"A, B, C, D, E, F, G, H, I, K, L"
41,17,Sand,0.556,'-1.708 < x <= -0.342,"",'<= -0.05,G,"A, B, C, D, E, F, H, I, J, K, L"
41,18,Sand,0.54,'> -0.342,'<= 0.413,'> -0.215,G,"A, B, C, D, E, F, H, I, J, K, L"
41,19,Sand,0.519,'> -0.342,"","",Any,None
41,20,Reef,0.995,'<= -0.342,'> 0.346,"","A, B, C, D, E, F, H, I, J, K, L",G
41,21,Reef,0.991,'<= -0.342,"",'<= -0.132,"B, C, D, E, F, H, I, J, K, L","A, G"
41,22,Reef,0.884,"",'> 0.243,'> -0.01,L,"A, B, C, D, E, F, G, H, I, J, K"
41,23,Reef,0.8700000000000001,"",'> 0.649,"","A, B, D, E, F, G, H, I, J, K, L",C
41,24,Reef,0.6849999999999999,"",'> 0.605,'<= 0.022,Any,None
41,25,Reef,0.6799999999999999,'> -0.342,'> -1.219,'<= -0.215,Any,None
41,26,Reef,0.6789999999999999,'> 1.545,'-0.085 < x <= 0.133,'<= 0.194,"A, B, C, D, E, F, G, H, J, K, L",I
41,27,Reef,0.6669999999999999,'<= 1.545,'-0.45 < x <= 0.302,"","A, E, F, H","B, C, D, G, I, J, K, L"
41,28,Reef,0.6609999999999999,'> 1.545,'<= -0.82,'-0.193 < x <= 0.194,"A, B, C, D, F, G, H, I, J, K, L",E
41,29,Reef,0.64,'<= -1.751,"","",Any,None
41,30,Reef,0.627,'> -0.342,"",'> -0.011,E,"A, B, C, D, F, G, H, I, J, K, L"
41,31,Reef,0.605,"",'> 0.357,'<= -0.01,"A, B, D, F, G, H, I, J, K, L","C, E"
41,32,Reef,0.532,'<= 1.545,"","","A, B, D, E, F, G, H, I, J, K, L",C
42,1,Sand,0.803,'1.806 < x <= 2.151,'<= 0.33,'> 0.001,Any,None
42,2,Sand,0.732,'-2.293 < x <= -1.966,'<= 0.24,'> -0.135,G,"A, B, C, D, E, F, H, I, J, K, L"
42,3,Sand,0.652,'<= 0.985,'0.437 < x <= 0.579,'> -0.135,G,"A, B, C, D, E, F, H, I, J, K, L"
42,4,Sand,0.523,'> -1.872,"","",Any,None
42,5,Reef,0.918,'0.985 < x <= 3.122,'0.47 < x <= 0.474,"",Any,None
42,6,Reef,0.895,'<= 0.985,'> 0.579,"",Any,None
42,7,Reef,0.8410000000000001,'<= -0.334,"",'0.036 < x <= 0.048,"A, C, E, F, H, I, J, K, L","B, D, G"
42,8,Reef,0.8140000000000001,'<= -0.334,'0.226 < x <= 0.232,"","A, B, E, F, G, H, I, J, K, L","C, D"
